"Popup","Popup"
"Action","Action"
"Actions","Actions"
"Auto hide","Auto hide"
"Default Popup position","Default Popup position"
"Popup Information","Popup Information"
"Add Popup","Add Popup"
"General","General"
"Name","Name"
"Date From","Date From"
"Date To","Date To"
"Delete","Delete"
"Change status","Change status"
"From","From"
"Store View","Store View"
"Show At","Show At"
"Align","Align"
"Status","Status"
"Width, px","Width, px"
"Height, px","Height, px"
"Sort Order","Sort Order"
"Content","Content"
"Content Heading","Content Heading"
"Popup management","Popup management"
"Add new","Add new"
"List popups","List popups"
"Settings","Settings"
"Item Manager","Item Manager"
"List Popups","List Popups"
"Market Segmentation Suite","Market Segmentation Suite"
"Miimum value is 300","Miimum value is 300"
"Validate the block by MSS rule","Validate the block by MSS rule"
"Only active MSS rules are listed here","Only active MSS rules are listed here"
"General number of shows","General number of shows"
"Number of shows per customer","Number of shows per customer"
"Used show count","Used show count"
"Minimum value is 200","Minimum value is 200"
"Minimum value is 300","Minimum value is 300"
"0 - unlimit usage","0 - unlimit usage"
"Top","Top"
"To","To"
"Middle","Middle"
"Bottom","Bottom"
"Edit Popup '%s'","Edit Popup '%s'"
"Save Item","Save Item"
"You can considerably increase functionality of Pop-Up + by installing the <strong>Market Segmentation Suite</strong> extension. To get more information, please visit <a href=http://ecommerce.aheadworks.com/market-segmentation-suite.html>extension page</a>","You can considerably increase functionality of Pop-Up + by installing the <strong>Market Segmentation Suite</strong> extension. To get more information, please visit <a href=http://ecommerce.aheadworks.com/market-segmentation-suite.html>extension page</a>"