i95Dev Sync Failed Records Report From Magento to Target,i95Dev Sync Failed Records Report From Magento to GP
i95Dev Sync Failed Records Report From Target to Magento,i95Dev Sync Failed Records Report From GP to Magento
I95Dev Target Connect,I95Dev GP Connect
Magento to Target Report,Magento to GP Report
Manual Sync,Manual Sync
Target Sync,GP Sync
Target to Magento Report,GP to Magento Report
Target Customer Information,GP Customer Information
Target Invoice ID,GP Invoice ID
Target Order Information,GP Order Information
Target Order ID,GP Order ID
Target Customer ID,GP Customer ID
Please check Target Connection,Please check GP Connection
GP Customer ID,GP Customer ID